,path,target
1624,BrainMRI/Training/meningioma/Tr-me_1203.jpg,meningioma
4176,BrainMRI/Training/notumor/Tr-no_1158.jpg,notumor
1968,BrainMRI/Training/meningioma/Tr-me_1063.jpg,meningioma
944,BrainMRI/Training/glioma/Tr-gl_0475.jpg,glioma
3163,BrainMRI/Training/pituitary/Tr-pi_0077.jpg,pituitary
3458,BrainMRI/Training/pituitary/Tr-pi_0454.jpg,pituitary
4987,BrainMRI/Training/notumor/Tr-no_0238.jpg,notumor
3685,BrainMRI/Training/pituitary/Tr-pi_0079.jpg,pituitary
1115,BrainMRI/Training/glioma/Tr-gl_1106.jpg,glioma
377,BrainMRI/Training/glioma/Tr-gl_0902.jpg,glioma
3999,BrainMRI/Training/pituitary/Tr-pi_0016.jpg,pituitary
5134,BrainMRI/Training/notumor/Tr-no_0208.jpg,notumor
4454,BrainMRI/Training/notumor/Tr-no_0375.jpg,notumor
3424,BrainMRI/Training/pituitary/Tr-pi_0101.jpg,pituitary
2287,BrainMRI/Training/meningioma/Tr-me_0870.jpg,meningioma
3334,BrainMRI/Training/pituitary/Tr-pi_0347.jpg,pituitary
5543,BrainMRI/Training/notumor/Tr-no_1214.jpg,notumor
1165,BrainMRI/Training/glioma/Tr-gl_1154.jpg,glioma
3152,BrainMRI/Training/pituitary/Tr-pi_0858.jpg,pituitary
2346,BrainMRI/Training/meningioma/Tr-me_0176.jpg,meningioma
975,BrainMRI/Training/glioma/Tr-gl_0410.jpg,glioma
3680,BrainMRI/Training/pituitary/Tr-pi_1202.jpg,pituitary
1437,BrainMRI/Training/meningioma/Tr-me_1148.jpg,meningioma
5152,BrainMRI/Training/notumor/Tr-no_1433.jpg,notumor
4753,BrainMRI/Training/notumor/Tr-no_0182.jpg,notumor
5412,BrainMRI/Training/notumor/Tr-no_0542.jpg,notumor
1349,BrainMRI/Training/meningioma/Tr-me_0754.jpg,meningioma
197,BrainMRI/Training/glioma/Tr-gl_0735.jpg,glioma
2429,BrainMRI/Training/meningioma/Tr-me_0834.jpg,meningioma
4484,BrainMRI/Training/notumor/Tr-no_1269.jpg,notumor
1928,BrainMRI/Training/meningioma/Tr-me_1181.jpg,meningioma
5025,BrainMRI/Training/notumor/Tr-no_0069.jpg,notumor
1806,BrainMRI/Training/meningioma/Tr-me_1209.jpg,meningioma
1811,BrainMRI/Training/meningioma/Tr-me_0733.jpg,meningioma
3035,BrainMRI/Training/pituitary/Tr-pi_0054.jpg,pituitary
3243,BrainMRI/Training/pituitary/Tr-pi_0326.jpg,pituitary
4547,BrainMRI/Training/notumor/Tr-no_1286.jpg,notumor
4189,BrainMRI/Training/notumor/Tr-no_0226.jpg,notumor
610,BrainMRI/Training/glioma/Tr-gl_0993.jpg,glioma
1725,BrainMRI/Training/meningioma/Tr-me_0541.jpg,meningioma
2955,BrainMRI/Training/pituitary/Tr-pi_1204.jpg,pituitary
1060,BrainMRI/Training/glioma/Tr-gl_0956.jpg,glioma
2903,BrainMRI/Training/pituitary/Tr-pi_0186.jpg,pituitary
498,BrainMRI/Training/glioma/Tr-gl_0539.jpg,glioma
3958,BrainMRI/Training/pituitary/Tr-pi_0324.jpg,pituitary
767,BrainMRI/Training/glioma/Tr-gl_0269.jpg,glioma
2636,BrainMRI/Training/meningioma/Tr-me_0522.jpg,meningioma
1712,BrainMRI/Training/meningioma/Tr-me_1123.jpg,meningioma
2705,BrainMRI/Training/pituitary/Tr-pi_0782.jpg,pituitary
5016,BrainMRI/Training/notumor/Tr-no_0778.jpg,notumor
1215,BrainMRI/Training/glioma/Tr-gl_0601.jpg,glioma
822,BrainMRI/Training/glioma/Tr-gl_0086.jpg,glioma
2415,BrainMRI/Training/meningioma/Tr-me_0415.jpg,meningioma
102,BrainMRI/Training/glioma/Tr-gl_0745.jpg,glioma
297,BrainMRI/Training/glioma/Tr-gl_0500.jpg,glioma
4055,BrainMRI/Training/pituitary/Tr-pi_0860.jpg,pituitary
2476,BrainMRI/Training/meningioma/Tr-me_0908.jpg,meningioma
1565,BrainMRI/Training/meningioma/Tr-me_0528.jpg,meningioma
2711,BrainMRI/Training/pituitary/Tr-pi_0814.jpg,pituitary
4883,BrainMRI/Training/notumor/Tr-no_0337.jpg,notumor
836,BrainMRI/Training/glioma/Tr-gl_0075.jpg,glioma
862,BrainMRI/Training/glioma/Tr-gl_0869.jpg,glioma
4370,BrainMRI/Training/notumor/Tr-no_0969.jpg,notumor
4049,BrainMRI/Training/pituitary/Tr-pi_1282.jpg,pituitary
4639,BrainMRI/Training/notumor/Tr-no_1388.jpg,notumor
2026,BrainMRI/Training/meningioma/Tr-me_1332.jpg,meningioma
134,BrainMRI/Training/glioma/Tr-gl_1221.jpg,glioma
3794,BrainMRI/Training/pituitary/Tr-pi_1240.jpg,pituitary
2931,BrainMRI/Training/pituitary/Tr-pi_0238.jpg,pituitary
1126,BrainMRI/Training/glioma/Tr-gl_1181.jpg,glioma
985,BrainMRI/Training/glioma/Tr-gl_0846.jpg,glioma
2379,BrainMRI/Training/meningioma/Tr-me_0766.jpg,meningioma
468,BrainMRI/Training/glioma/Tr-gl_1096.jpg,glioma
1104,BrainMRI/Training/glioma/Tr-gl_0195.jpg,glioma
4104,BrainMRI/Training/pituitary/Tr-pi_0617.jpg,pituitary
2653,BrainMRI/Training/meningioma/Tr-me_0768.jpg,meningioma
1381,BrainMRI/Training/meningioma/Tr-me_1106.jpg,meningioma
4050,BrainMRI/Training/pituitary/Tr-pi_1076.jpg,pituitary
3949,BrainMRI/Training/pituitary/Tr-pi_0597.jpg,pituitary
4932,BrainMRI/Training/notumor/Tr-no_0185.jpg,notumor
4768,BrainMRI/Training/notumor/Tr-no_0692.jpg,notumor
4678,BrainMRI/Training/notumor/Tr-no_0153.jpg,notumor
1494,BrainMRI/Training/meningioma/Tr-me_0487.jpg,meningioma
2433,BrainMRI/Training/meningioma/Tr-me_1067.jpg,meningioma
3856,BrainMRI/Training/pituitary/Tr-pi_0437.jpg,pituitary
3582,BrainMRI/Training/pituitary/Tr-pi_0319.jpg,pituitary
3389,BrainMRI/Training/pituitary/Tr-pi_0377.jpg,pituitary
2169,BrainMRI/Training/meningioma/Tr-me_0252.jpg,meningioma
2082,BrainMRI/Training/meningioma/Tr-me_0033.jpg,meningioma
1649,BrainMRI/Training/meningioma/Tr-me_0967.jpg,meningioma
4671,BrainMRI/Training/notumor/Tr-no_0869.jpg,notumor
4268,BrainMRI/Training/notumor/Tr-no_0523.jpg,notumor
1947,BrainMRI/Training/meningioma/Tr-me_0154.jpg,meningioma
634,BrainMRI/Training/glioma/Tr-gl_0193.jpg,glioma
4986,BrainMRI/Training/notumor/Tr-no_0384.jpg,notumor
3294,BrainMRI/Training/pituitary/Tr-pi_0919.jpg,pituitary
3172,BrainMRI/Training/pituitary/Tr-pi_0965.jpg,pituitary
5014,BrainMRI/Training/notumor/Tr-no_1036.jpg,notumor
1403,BrainMRI/Training/meningioma/Tr-me_0777.jpg,meningioma
786,BrainMRI/Training/glioma/Tr-gl_0874.jpg,glioma
545,BrainMRI/Training/glioma/Tr-gl_0080.jpg,glioma
5487,BrainMRI/Training/notumor/Tr-no_0093.jpg,notumor
912,BrainMRI/Training/glioma/Tr-gl_0213.jpg,glioma
2616,BrainMRI/Training/meningioma/Tr-me_0679.jpg,meningioma
3857,BrainMRI/Training/pituitary/Tr-pi_0761.jpg,pituitary
2634,BrainMRI/Training/meningioma/Tr-me_0511.jpg,meningioma
2224,BrainMRI/Training/meningioma/Tr-me_0919.jpg,meningioma
4141,BrainMRI/Training/notumor/Tr-no_0412.jpg,notumor
4313,BrainMRI/Training/notumor/Tr-no_1328.jpg,notumor
3917,BrainMRI/Training/pituitary/Tr-pi_0552.jpg,pituitary
5174,BrainMRI/Training/notumor/Tr-no_1208.jpg,notumor
1052,BrainMRI/Training/glioma/Tr-gl_0397.jpg,glioma
5627,BrainMRI/Training/notumor/Tr-no_1083.jpg,notumor
710,BrainMRI/Training/glioma/Tr-gl_0097.jpg,glioma
4431,BrainMRI/Training/notumor/Tr-no_0936.jpg,notumor
4100,BrainMRI/Training/pituitary/Tr-pi_0330.jpg,pituitary
3150,BrainMRI/Training/pituitary/Tr-pi_0296.jpg,pituitary
5647,BrainMRI/Training/notumor/Tr-no_0070.jpg,notumor
450,BrainMRI/Training/glioma/Tr-gl_0999.jpg,glioma
2233,BrainMRI/Training/meningioma/Tr-me_0590.jpg,meningioma
1786,BrainMRI/Training/meningioma/Tr-me_1173.jpg,meningioma
2739,BrainMRI/Training/pituitary/Tr-pi_0660.jpg,pituitary
3349,BrainMRI/Training/pituitary/Tr-pi_0279.jpg,pituitary
65,BrainMRI/Training/glioma/Tr-gl_0478.jpg,glioma
499,BrainMRI/Training/glioma/Tr-gl_1099.jpg,glioma
335,BrainMRI/Training/glioma/Tr-gl_0084.jpg,glioma
92,BrainMRI/Training/glioma/Tr-gl_0163.jpg,glioma
629,BrainMRI/Training/glioma/Tr-gl_0533.jpg,glioma
1106,BrainMRI/Training/glioma/Tr-gl_0198.jpg,glioma
5441,BrainMRI/Training/notumor/Tr-no_1263.jpg,notumor
1896,BrainMRI/Training/meningioma/Tr-me_1110.jpg,meningioma
4940,BrainMRI/Training/notumor/Tr-no_0505.jpg,notumor
3955,BrainMRI/Training/pituitary/Tr-pi_0830.jpg,pituitary
3032,BrainMRI/Training/pituitary/Tr-pi_0517.jpg,pituitary
4442,BrainMRI/Training/notumor/Tr-no_1138.jpg,notumor
3951,BrainMRI/Training/pituitary/Tr-pi_0272.jpg,pituitary
2107,BrainMRI/Training/meningioma/Tr-me_0727.jpg,meningioma
4767,BrainMRI/Training/notumor/Tr-no_0551.jpg,notumor
3189,BrainMRI/Training/pituitary/Tr-pi_0688.jpg,pituitary
5175,BrainMRI/Training/notumor/Tr-no_0097.jpg,notumor
2995,BrainMRI/Training/pituitary/Tr-pi_0967.jpg,pituitary
1905,BrainMRI/Training/meningioma/Tr-me_0370.jpg,meningioma
2191,BrainMRI/Training/meningioma/Tr-me_1278.jpg,meningioma
708,BrainMRI/Training/glioma/Tr-gl_0776.jpg,glioma
2601,BrainMRI/Training/meningioma/Tr-me_0236.jpg,meningioma
3047,BrainMRI/Training/pituitary/Tr-pi_0280.jpg,pituitary
3401,BrainMRI/Training/pituitary/Tr-pi_1387.jpg,pituitary
1178,BrainMRI/Training/glioma/Tr-gl_0864.jpg,glioma
4641,BrainMRI/Training/notumor/Tr-no_1152.jpg,notumor
2302,BrainMRI/Training/meningioma/Tr-me_0552.jpg,meningioma
5300,BrainMRI/Training/notumor/Tr-no_0843.jpg,notumor
3454,BrainMRI/Training/pituitary/Tr-pi_0607.jpg,pituitary
2242,BrainMRI/Training/meningioma/Tr-me_1072.jpg,meningioma
2118,BrainMRI/Training/meningioma/Tr-me_0070.jpg,meningioma
2309,BrainMRI/Training/meningioma/Tr-me_0336.jpg,meningioma
3156,BrainMRI/Training/pituitary/Tr-pi_0170.jpg,pituitary
891,BrainMRI/Training/glioma/Tr-gl_0051.jpg,glioma
1959,BrainMRI/Training/meningioma/Tr-me_0551.jpg,meningioma
3411,BrainMRI/Training/pituitary/Tr-pi_0911.jpg,pituitary
3000,BrainMRI/Training/pituitary/Tr-pi_0224.jpg,pituitary
5266,BrainMRI/Training/notumor/Tr-no_1046.jpg,notumor
5435,BrainMRI/Training/notumor/Tr-no_1121.jpg,notumor
2649,BrainMRI/Training/meningioma/Tr-me_0902.jpg,meningioma
1827,BrainMRI/Training/meningioma/Tr-me_1013.jpg,meningioma
2660,BrainMRI/Training/pituitary/Tr-pi_0192.jpg,pituitary
4200,BrainMRI/Training/notumor/Tr-no_0874.jpg,notumor
3778,BrainMRI/Training/pituitary/Tr-pi_0903.jpg,pituitary
2159,BrainMRI/Training/meningioma/Tr-me_0571.jpg,meningioma
977,BrainMRI/Training/glioma/Tr-gl_0596.jpg,glioma
5589,BrainMRI/Training/notumor/Tr-no_0751.jpg,notumor
2219,BrainMRI/Training/meningioma/Tr-me_1002.jpg,meningioma
2214,BrainMRI/Training/meningioma/Tr-me_0333.jpg,meningioma
1334,BrainMRI/Training/meningioma/Tr-me_1083.jpg,meningioma
5205,BrainMRI/Training/notumor/Tr-no_0503.jpg,notumor
161,BrainMRI/Training/glioma/Tr-gl_1041.jpg,glioma
4025,BrainMRI/Training/pituitary/Tr-pi_1278.jpg,pituitary
756,BrainMRI/Training/glioma/Tr-gl_0702.jpg,glioma
2791,BrainMRI/Training/pituitary/Tr-pi_1086.jpg,pituitary
1707,BrainMRI/Training/meningioma/Tr-me_0139.jpg,meningioma
5381,BrainMRI/Training/notumor/Tr-no_0697.jpg,notumor
1075,BrainMRI/Training/glioma/Tr-gl_0040.jpg,glioma
2252,BrainMRI/Training/meningioma/Tr-me_0681.jpg,meningioma
299,BrainMRI/Training/glioma/Tr-gl_0179.jpg,glioma
2183,BrainMRI/Training/meningioma/Tr-me_0200.jpg,meningioma
1017,BrainMRI/Training/glioma/Tr-gl_0140.jpg,glioma
4826,BrainMRI/Training/notumor/Tr-no_0753.jpg,notumor
4367,BrainMRI/Training/notumor/Tr-no_0377.jpg,notumor
4366,BrainMRI/Training/notumor/Tr-no_1453.jpg,notumor
1089,BrainMRI/Training/glioma/Tr-gl_0294.jpg,glioma
4946,BrainMRI/Training/notumor/Tr-no_1531.jpg,notumor
1367,BrainMRI/Training/meningioma/Tr-me_1214.jpg,meningioma
413,BrainMRI/Training/glioma/Tr-gl_1269.jpg,glioma
4968,BrainMRI/Training/notumor/Tr-no_0243.jpg,notumor
49,BrainMRI/Training/glioma/Tr-gl_1293.jpg,glioma
1795,BrainMRI/Training/meningioma/Tr-me_1077.jpg,meningioma
2667,BrainMRI/Training/pituitary/Tr-pi_0826.jpg,pituitary
3500,BrainMRI/Training/pituitary/Tr-pi_0787.jpg,pituitary
774,BrainMRI/Training/glioma/Tr-gl_0557.jpg,glioma
3226,BrainMRI/Training/pituitary/Tr-pi_0106.jpg,pituitary
1482,BrainMRI/Training/meningioma/Tr-me_1322.jpg,meningioma
5511,BrainMRI/Training/notumor/Tr-no_0770.jpg,notumor
2347,BrainMRI/Training/meningioma/Tr-me_1024.jpg,meningioma
1168,BrainMRI/Training/glioma/Tr-gl_0628.jpg,glioma
2430,BrainMRI/Training/meningioma/Tr-me_0729.jpg,meningioma
5392,BrainMRI/Training/notumor/Tr-no_0416.jpg,notumor
5183,BrainMRI/Training/notumor/Tr-no_0518.jpg,notumor
2393,BrainMRI/Training/meningioma/Tr-me_1054.jpg,meningioma
3208,BrainMRI/Training/pituitary/Tr-pi_1423.jpg,pituitary
3762,BrainMRI/Training/pituitary/Tr-pi_1002.jpg,pituitary
2275,BrainMRI/Training/meningioma/Tr-me_1161.jpg,meningioma
1807,BrainMRI/Training/meningioma/Tr-me_0803.jpg,meningioma
4610,BrainMRI/Training/notumor/Tr-no_0246.jpg,notumor
3139,BrainMRI/Training/pituitary/Tr-pi_1396.jpg,pituitary
42,BrainMRI/Training/glioma/Tr-gl_0806.jpg,glioma
1006,BrainMRI/Training/glioma/Tr-gl_0389.jpg,glioma
679,BrainMRI/Training/glioma/Tr-gl_0514.jpg,glioma
1489,BrainMRI/Training/meningioma/Tr-me_1219.jpg,meningioma
2817,BrainMRI/Training/pituitary/Tr-pi_1247.jpg,pituitary
2843,BrainMRI/Training/pituitary/Tr-pi_0350.jpg,pituitary
3763,BrainMRI/Training/pituitary/Tr-pi_1452.jpg,pituitary
5227,BrainMRI/Training/notumor/Tr-no_1256.jpg,notumor
2146,BrainMRI/Training/meningioma/Tr-me_1036.jpg,meningioma
3323,BrainMRI/Training/pituitary/Tr-pi_1083.jpg,pituitary
867,BrainMRI/Training/glioma/Tr-gl_1201.jpg,glioma
408,BrainMRI/Training/glioma/Tr-gl_1171.jpg,glioma
1718,BrainMRI/Training/meningioma/Tr-me_0062.jpg,meningioma
3183,BrainMRI/Training/pituitary/Tr-pi_0298.jpg,pituitary
3711,BrainMRI/Training/pituitary/Tr-pi_0785.jpg,pituitary
680,BrainMRI/Training/glioma/Tr-gl_1116.jpg,glioma
3487,BrainMRI/Training/pituitary/Tr-pi_0020.jpg,pituitary
4048,BrainMRI/Training/pituitary/Tr-pi_1064.jpg,pituitary
253,BrainMRI/Training/glioma/Tr-gl_0092.jpg,glioma
5464,BrainMRI/Training/notumor/Tr-no_0468.jpg,notumor
2190,BrainMRI/Training/meningioma/Tr-me_1305.jpg,meningioma
2647,BrainMRI/Training/meningioma/Tr-me_0854.jpg,meningioma
3038,BrainMRI/Training/pituitary/Tr-pi_0359.jpg,pituitary
1255,BrainMRI/Training/glioma/Tr-gl_0444.jpg,glioma
3620,BrainMRI/Training/pituitary/Tr-pi_0440.jpg,pituitary
3205,BrainMRI/Training/pituitary/Tr-pi_0263.jpg,pituitary
2485,BrainMRI/Training/meningioma/Tr-me_1101.jpg,meningioma
2196,BrainMRI/Training/meningioma/Tr-me_1275.jpg,meningioma
3355,BrainMRI/Training/pituitary/Tr-pi_0433.jpg,pituitary
825,BrainMRI/Training/glioma/Tr-gl_0659.jpg,glioma
2470,BrainMRI/Training/meningioma/Tr-me_0309.jpg,meningioma
1812,BrainMRI/Training/meningioma/Tr-me_0488.jpg,meningioma
4977,BrainMRI/Training/notumor/Tr-no_1051.jpg,notumor
3960,BrainMRI/Training/pituitary/Tr-pi_0846.jpg,pituitary
4225,BrainMRI/Training/notumor/Tr-no_0155.jpg,notumor
4433,BrainMRI/Training/notumor/Tr-no_0135.jpg,notumor
1373,BrainMRI/Training/meningioma/Tr-me_1310.jpg,meningioma
3376,BrainMRI/Training/pituitary/Tr-pi_1233.jpg,pituitary
5527,BrainMRI/Training/notumor/Tr-no_0974.jpg,notumor
4905,BrainMRI/Training/notumor/Tr-no_0314.jpg,notumor
635,BrainMRI/Training/glioma/Tr-gl_1176.jpg,glioma
2104,BrainMRI/Training/meningioma/Tr-me_1085.jpg,meningioma
2074,BrainMRI/Training/meningioma/Tr-me_0275.jpg,meningioma
2389,BrainMRI/Training/meningioma/Tr-me_0221.jpg,meningioma
5501,BrainMRI/Training/notumor/Tr-no_0624.jpg,notumor
2933,BrainMRI/Training/pituitary/Tr-pi_1172.jpg,pituitary
2518,BrainMRI/Training/meningioma/Tr-me_0305.jpg,meningioma
1820,BrainMRI/Training/meningioma/Tr-me_1199.jpg,meningioma
1047,BrainMRI/Training/glioma/Tr-gl_1120.jpg,glioma
720,BrainMRI/Training/glioma/Tr-gl_1264.jpg,glioma
4172,BrainMRI/Training/notumor/Tr-no_0754.jpg,notumor
77,BrainMRI/Training/glioma/Tr-gl_0238.jpg,glioma
5232,BrainMRI/Training/notumor/Tr-no_0252.jpg,notumor
4008,BrainMRI/Training/pituitary/Tr-pi_0203.jpg,pituitary
2070,BrainMRI/Training/meningioma/Tr-me_0636.jpg,meningioma
4023,BrainMRI/Training/pituitary/Tr-pi_1229.jpg,pituitary
1028,BrainMRI/Training/glioma/Tr-gl_0917.jpg,glioma
4763,BrainMRI/Training/notumor/Tr-no_0675.jpg,notumor
2937,BrainMRI/Training/pituitary/Tr-pi_1077.jpg,pituitary
2053,BrainMRI/Training/meningioma/Tr-me_0980.jpg,meningioma
448,BrainMRI/Training/glioma/Tr-gl_0830.jpg,glioma
2550,BrainMRI/Training/meningioma/Tr-me_0644.jpg,meningioma
929,BrainMRI/Training/glioma/Tr-gl_0634.jpg,glioma
2355,BrainMRI/Training/meningioma/Tr-me_0311.jpg,meningioma
2586,BrainMRI/Training/meningioma/Tr-me_0075.jpg,meningioma
3597,BrainMRI/Training/pituitary/Tr-pi_0127.jpg,pituitary
5364,BrainMRI/Training/notumor/Tr-no_0364.jpg,notumor
190,BrainMRI/Training/glioma/Tr-gl_1125.jpg,glioma
2970,BrainMRI/Training/pituitary/Tr-pi_1082.jpg,pituitary
3978,BrainMRI/Training/pituitary/Tr-pi_1119.jpg,pituitary
2503,BrainMRI/Training/meningioma/Tr-me_1030.jpg,meningioma
1310,BrainMRI/Training/glioma/Tr-gl_0626.jpg,glioma
4656,BrainMRI/Training/notumor/Tr-no_0488.jpg,notumor
5150,BrainMRI/Training/notumor/Tr-no_0289.jpg,notumor
998,BrainMRI/Training/glioma/Tr-gl_1138.jpg,glioma
1651,BrainMRI/Training/meningioma/Tr-me_0513.jpg,meningioma
1856,BrainMRI/Training/meningioma/Tr-me_0493.jpg,meningioma
2577,BrainMRI/Training/meningioma/Tr-me_0429.jpg,meningioma
3203,BrainMRI/Training/pituitary/Tr-pi_1429.jpg,pituitary
2692,BrainMRI/Training/pituitary/Tr-pi_1295.jpg,pituitary
356,BrainMRI/Training/glioma/Tr-gl_0925.jpg,glioma
3012,BrainMRI/Training/pituitary/Tr-pi_1328.jpg,pituitary
771,BrainMRI/Training/glioma/Tr-gl_1145.jpg,glioma
2602,BrainMRI/Training/meningioma/Tr-me_0407.jpg,meningioma
3720,BrainMRI/Training/pituitary/Tr-pi_0075.jpg,pituitary
5440,BrainMRI/Training/notumor/Tr-no_0220.jpg,notumor
525,BrainMRI/Training/glioma/Tr-gl_1290.jpg,glioma
3924,BrainMRI/Training/pituitary/Tr-pi_0364.jpg,pituitary
1413,BrainMRI/Training/meningioma/Tr-me_0265.jpg,meningioma
3216,BrainMRI/Training/pituitary/Tr-pi_0423.jpg,pituitary
861,BrainMRI/Training/glioma/Tr-gl_1115.jpg,glioma
5074,BrainMRI/Training/notumor/Tr-no_0409.jpg,notumor
3408,BrainMRI/Training/pituitary/Tr-pi_0742.jpg,pituitary
131,BrainMRI/Training/glioma/Tr-gl_0152.jpg,glioma
1375,BrainMRI/Training/meningioma/Tr-me_0979.jpg,meningioma
4062,BrainMRI/Training/pituitary/Tr-pi_0373.jpg,pituitary
5220,BrainMRI/Training/notumor/Tr-no_0958.jpg,notumor
4530,BrainMRI/Training/notumor/Tr-no_1527.jpg,notumor
4624,BrainMRI/Training/notumor/Tr-no_0657.jpg,notumor
2574,BrainMRI/Training/meningioma/Tr-me_0150.jpg,meningioma
919,BrainMRI/Training/glioma/Tr-gl_0183.jpg,glioma
1530,BrainMRI/Training/meningioma/Tr-me_0932.jpg,meningioma
3435,BrainMRI/Training/pituitary/Tr-pi_0044.jpg,pituitary
3223,BrainMRI/Training/pituitary/Tr-pi_0365.jpg,pituitary
3904,BrainMRI/Training/pituitary/Tr-pi_1134.jpg,pituitary
1447,BrainMRI/Training/meningioma/Tr-me_0989.jpg,meningioma
2872,BrainMRI/Training/pituitary/Tr-pi_0402.jpg,pituitary
1508,BrainMRI/Training/meningioma/Tr-me_0478.jpg,meningioma
2851,BrainMRI/Training/pituitary/Tr-pi_0667.jpg,pituitary
5674,BrainMRI/Training/notumor/Tr-no_1426.jpg,notumor
2428,BrainMRI/Training/meningioma/Tr-me_0747.jpg,meningioma
3893,BrainMRI/Training/pituitary/Tr-pi_0464.jpg,pituitary
606,BrainMRI/Training/glioma/Tr-gl_0892.jpg,glioma
1327,BrainMRI/Training/meningioma/Tr-me_0669.jpg,meningioma
2719,BrainMRI/Training/pituitary/Tr-pi_0786.jpg,pituitary
5029,BrainMRI/Training/notumor/Tr-no_0514.jpg,notumor
2860,BrainMRI/Training/pituitary/Tr-pi_0824.jpg,pituitary
4559,BrainMRI/Training/notumor/Tr-no_1275.jpg,notumor
3196,BrainMRI/Training/pituitary/Tr-pi_0476.jpg,pituitary
1333,BrainMRI/Training/meningioma/Tr-me_0160.jpg,meningioma
5121,BrainMRI/Training/notumor/Tr-no_0379.jpg,notumor
1776,BrainMRI/Training/meningioma/Tr-me_1338.jpg,meningioma
2314,BrainMRI/Training/meningioma/Tr-me_0448.jpg,meningioma
1737,BrainMRI/Training/meningioma/Tr-me_0110.jpg,meningioma
5684,BrainMRI/Training/notumor/Tr-no_0928.jpg,notumor
361,BrainMRI/Training/glioma/Tr-gl_0943.jpg,glioma
3031,BrainMRI/Training/pituitary/Tr-pi_0245.jpg,pituitary
1273,BrainMRI/Training/glioma/Tr-gl_0482.jpg,glioma
1773,BrainMRI/Training/meningioma/Tr-me_0328.jpg,meningioma
1769,BrainMRI/Training/meningioma/Tr-me_0763.jpg,meningioma
